koi,sig_tt_min,s_oc_min,pval,source
410.01,1.48,2.59,-3.6,Holczer+2016_J/ApJS/225/9_table4
412.01,1.84,1.95,-0.0,Holczer+2016_J/ApJS/225/9_table4
413.01,7.10,7.36,-0.0,Holczer+2016_J/ApJS/225/9_table4
413.02,16.09,14.85,-0.0,Holczer+2016_J/ApJS/225/9_table4
415.01,1.22,1.05,-0.0,Holczer+2016_J/ApJS/225/9_table4
416.01,3.81,3.57,-0.0,Holczer+2016_J/ApJS/225/9_table4
416.02,5.20,4.19,-0.0,Holczer+2016_J/ApJS/225/9_table4
417.01,1.26,2.05,-0.9,Holczer+2016_J/ApJS/225/9_table4
420.01,2.02,2.35,-0.0,Holczer+2016_J/ApJS/225/9_table4
421.01,0.69,0.78,-0.0,Holczer+2016_J/ApJS/225/9_table4
423.01,0.80,0.97,-0.0,Holczer+2016_J/ApJS/225/9_table4
426.01,8.70,8.52,-0.0,Holczer+2016_J/ApJS/225/9_table4
427.01,6.29,7.90,-0.0,Holczer+2016_J/ApJS/225/9_table4
427.02,11.73,15.91,-0.1,Holczer+2016_J/ApJS/225/9_table4
428.01,2.14,2.06,-0.0,Holczer+2016_J/ApJS/225/9_table4
429.01,2.76,3.00,-0.0,Holczer+2016_J/ApJS/225/9_table4
430.01,4.99,5.72,-0.0,Holczer+2016_J/ApJS/225/9_table4
431.01,7.58,6.25,-0.0,Holczer+2016_J/ApJS/225/9_table4
431.02,9.73,6.66,-0.0,Holczer+2016_J/ApJS/225/9_table4
432.01,5.03,5.35,-0.0,Holczer+2016_J/ApJS/225/9_table4
433.01,3.65,3.84,-0.0,Holczer+2016_J/ApJS/225/9_table4
435.01,6.38,6.91,-0.0,Holczer+2016_J/ApJS/225/9_table4
435.03,14.92,19.00,-0.1,Holczer+2016_J/ApJS/225/9_table4
435.05,10.98,6.09,-0.0,Holczer+2016_J/ApJS/225/9_table4
438.01,7.57,7.68,-0.0,Holczer+2016_J/ApJS/225/9_table4
438.02,7.47,4.60,-0.0,Holczer+2016_J/ApJS/225/9_table4
439.01,3.21,3.47,0.0,Holczer+2016_J/ApJS/225/9_table4
